Vannkraftverk

Løpenummer;Navn;Type;VannKVTypeID;Hovedeier;Org.nr. hovedeier;Fylke;Fylkesnr.;Kommune;Kommunenr.;Dato for første utnyttelse av fallet;Dato for eldste kraftproduserende del;Maks ytelse [MW];Midl. årsproduksjon (ref. 1991-2020) [GWh];Brutto fallhøyde [m];Maksimal slukeevne [m3/s];Energiekvivalent [kWh/m3];Elspotområde;Reginenr.;ErIDrift;IDriftDato;Konsesjoner;Kraftverkstatus;NVEOmraadeID;NVEOmraadeNavn;Nedborsfeltnavn;SPPunkt;SPSone;UnderBygging;UteAvDrift;VassdragsOmraadeID;VassdragsOmraadeNavn
1854;Bjørnstokk;Kraftverk;K;HELGELAND KRAFT VANNKRAFT AS;917424896;Nordland;18;Brønnøy;13;2017;2017;8,2;20,394;264,2;3,7;0,616;4;144.721Z;ja;2017-07-06;[object Object];Idrift;;;Bjørnstokkelva;01;614;nei;;10;NVE - område: 10;
979;Bjørsvik;Kraftverk;K;LERØY VEST KRAFT AS;923233539;Vestland;46;Alver;31;1952;1952;0,495;0,336;;;;5;064.6;ja;1952-01-01;[object Object];Idrift;;;KYSTFELT;;999;nei;;6;NVE - område: 6;
1115;Bjøråa;Kraftverk;K;;;Trøndelag;50;Høylandet;46;1999;1999;0,025;0,02;71;0,06;0,116;3;142.32Z;ja;1999-01-01;;Idrift;;;Bjøråa;;999;nei;;9;NVE - område: 9;
1190;Bjøråa;Kraftverk;K;HANS JOHAN AARNES;979259492;Møre og Romsdal;15;Surnadal;66;1997;1997;0,036;0,207;;;;3;112.3A2;ja;1997-01-01;[object Object];Idrift;;;Bøvra;;999;nei;;8;NVE - område: 8;
1915;Bjåstad;Kraftverk;K;FJÆRLAND KRAFT AS;916498721;Vestland;46;Sogndal;40;2018;2018;5,19;11,663;385,83;1,68;0,858;5;078.21Z;ja;2018-03-22;[object Object];Idrift;;;Bjåstadelvi;02;316;nei;;7;NVE - område: 7;
1351;Blikraåna;Kraftverk;K;BLIKRAÅNA KRAFTVERK AS;889506822;Rogaland;11;Vindafjord;60;2006;2006;0,25;0,997;235;0,08;;2;038.5B;ja;2006-09-27;[object Object];Idrift;;;Åmselva;;999;nei;;5;NVE - område: 5;
1078;Blikåsbekken;Kraftverk;K;;;Trøndelag;50;Indre Fosen;54;2000;2000;0,004;0,016;;;;3;131.9B;ja;2000-01-01;[object Object];Idrift;;;Prestelva;;999;nei;;9;NVE - område: 9;
2004;Blokken;Kraftverk;K;;;Nordland;18;Sortland %u2013 Suortá;70;1917;1917;0,12;0,515;10;1,6;0,021;4;178.43A;ja;1917-01-01;[object Object];Idrift;;;Blokkelva;;999;nei;;11;NVE - område: 11;
1454;Blådalselva;Kraftverk;K;SMÅKRAFT AS;984616155;Vestland;46;Masfjorden;34;2010;2010;2,66;8,276;247;1,3;0,568;5;065.7Z;ja;2010-09-27;[object Object];Idrift;;;Kvingedalsvassdraget;01;263;nei;;6;NVE - område: 6;
31;Blåfalli III H;Kraftverk;K;SUNNHORDLAND KRAFTLAG AS;916435711;Vestland;46;Kvinnherad;17;1968;1968;100;536,621;320;38;0,731;2;042.B2;ja;1968-01-01;[object Object],[object Object],[object Object],[object Object];Idrift;;;Blåelva;05;193;nei;;5;NVE - område: 5;
32;Blåfalli III L;Kraftverk;K;SUNNHORDLAND KRAFTLAG AS;916435711;Vestland;46;Kvinnherad;17;1976;1976;5;17,735;57;9,02;0,153;2;042.B2;ja;1976-01-01;[object Object],[object Object];Idrift;;;Blåelva;04;193;nei;;5;NVE - område: 5;
33;Blåfalli IV;Kraftverk;K;SUNNHORDLAND KRAFTLAG AS;916435711;Vestland;46;Kvinnherad;17;1981;1981;13;70,368;150;10;0,361;2;042.E21;ja;1981-12-15;[object Object],[object Object];Idrift;;;Blåelva;06;193;nei;;5;NVE - område: 5;
781;Blåfalli V;Kraftverk;K;SUNNHORDLAND KRAFTLAG AS;916435711;Vestland;46;Kvinnherad;17;2002;2002;8,1;27,529;56;17,3;0,13;2;042.F;ja;2002-01-01;[object Object],[object Object];Idrift;;;Blåelva;07;193;nei;;5;NVE - område: 5;
1334;Blåfalli Vik;Kraftverk;K;SUNNHORDLAND KRAFTLAG AS;916435711;Vestland;46;Kvinnherad;17;2007;2007;230;806,754;374,8;70;0,938;2;042.7B;ja;2007-05-01;[object Object],[object Object],[object Object],[object Object],[object Object],[object Object];Idrift;;;Opstveitvassdraget;03;193;nei;;5;NVE - område: 5;
1281;Blålid;Kraftverk;K;BLÅLID KRAFT AS;989362402;Vestland;46;Bremanger;48;2007;2007;0,565;2,019;95;0,75;0,209;3;086.320;ja;2007-03-28;[object Object];Idrift;;;KYSTFELT;;999;nei;;13;NVE - område: 13;
1262;Blåsvagrova;Kraftverk;K;;;Vestland;46;Sunnfjord;47;2005;2005;0,017;0,017;120;;;3;083.F;ja;2005-01-01;[object Object];Idrift;;;Gaularvassdraget;;999;nei;;13;NVE - område: 13;
1697;Boen Foss;Kraftverk;K;BOEN FOSS AS;917998760;Agder;42;Kristiansand;04;1920;2021;3,6;23,986;12,8;30;0,033;2;020.A12;ja;2021-02-06;[object Object],[object Object];Idrift;;;Tovdalsvassdraget;01;111;nei;;4;NVE - område: 4;
1793;Bog;Kraftverk;K;BOG KRAFT AS;992784954;Rogaland;11;Suldal;34;2008;2008;0,09;0,363;;;;2;035.8;ja;2008-11-19;[object Object];Idrift;;;KYSTFELT;;999;nei;;3;NVE - område: 3;
1333;Boge 1;Kraftverk;K;BOGE KRAFT AS;985993610;Vestland;46;Vaksdal;28;2007;2007;1,35;4,992;209;0,87;0,431;5;061.4A;ja;2007-01-01;[object Object],[object Object];Idrift;;;Vaksdalsvassdraget;01;239;nei;;6;NVE - område: 6;
1463;Boge 2;Kraftverk;K;BOGE KRAFT AS;985993610;Vestland;46;Vaksdal;28;2008;2008;1,25;4,253;261,66;0,6;0,579;5;061.4A;ja;2008-09-02;[object Object];Idrift;;;Vaksdalsvassdraget;02;239;nei;;6;NVE - område: 6;
34;Bogna;Kraftverk;K;NTE ENERGI AS;988340715;Trøndelag;50;Snåase %u2013 Snåsa;41;1971;1971;57;154,771;290;23,8;0,665;3;128.C43;ja;1971-01-28;[object Object];Idrift;;;Snåsavassdraget;11;517;nei;;9;NVE - område: 9;
1705;Bordalsbekken;Kraftverk;K;SUNNHORDLAND KRAFTLAG AS;916435711;Rogaland;11;Tysvær;46;2012;2012;1,9;5,046;205,4;1,04;0,507;2;039.21Z;ja;2012-08-31;[object Object];Idrift;;;Storaelva;;999;nei;;5;NVE - område: 5;
2023;Bordalselva;Kraftverk;K;SMÅKRAFT GREEN BOND 2 AS;825750932;Møre og Romsdal;15;Molde;06;2020;2020;2,2;6,834;296;0,9;0,679;3;105.20;ja;2020-11-11;[object Object];Idrift;;;KYSTFELT;;999;nei;;8;NVE - område: 8;
35;Borgund;Kraftverk;K;ØSTFOLD ENERGI AS;879904412;Vestland;46;Lærdal;42;1974;1974;212;1068,73;874;28;2,103;5;073.C12;ja;1974-10-04;[object Object],[object Object],[object Object],[object Object],[object Object],[object Object];Idrift;;;Lærdalsvassdraget;02;298;nei;;2;NVE - område: 2;
1829;Borgåna;Kraftverk;K;CADRE ELVEKRAFT AS;929375769;Rogaland;11;Suldal;34;2017;2017;1,95;4,8;346,5;0,7;0,774;2;038.1B;ja;2017-01-31;[object Object],[object Object];Idrift;;;Vikastølelva;;999;nei;;5;NVE - område: 5;
36;Borregaard;Kraftverk;K;SARPSFOSS LIMITED NUF;916694385;Østfold;31;Sarpsborg;05;1910;1910;54;271,286;20,5;337,5;0,044;1;002.A4;ja;1910-01-01;[object Object],[object Object],[object Object];Idrift;;;Glommavassdraget;02;004;nei;;1;NVE - område: 1;
1987;Botna;Kraftverk;K;BOTNA KRAFT AS;911605244;Vestland;46;Sogndal;40;2020;2020;1,9;6,495;332,5;0,7;0,754;5;078.22;ja;2020-05-25;[object Object];Idrift;;;KYSTFELT;;999;nei;;7;NVE - område: 7;
1649;Botnabakken;Kraftverk;K;BOTNABAKKEN KRAFT AS;992361301;Vestland;46;Sunnfjord;47;2009;2009;0,16;0,546;125;;;3;084.AB3;ja;2009-02-05;[object Object];Idrift;;;Jølstra;;346;nei;;13;NVE - område: 13;
1005;Botnaelva;Kraftverk;K;BOTNAELVA KRAFTVERK AS;821091152;Vestland;46;Kvinnherad;17;2005;2005;0,4;1,119;;;;2;045.31Z;ja;2005-06-07;[object Object];Idrift;;;Storelva;;999;nei;;5;NVE - område: 5;
1603;Botnaelva;Kraftverk;K;SØRDALSKRAFT AS;987393971;Vestland;46;Vaksdal;28;2007;2007;0,862;2,717;159;0,65;0,368;5;063.A5Z;ja;2007-01-04;[object Object];Idrift;;;Eksingedalsvassdraget;;257;nei;;6;NVE - område: 6;
2173;Botnen;Kraftverk;K;BOTNEN KRAFTVERK AS;997832086;Vestland;46;Ullensvang;18;2025;2025;3;8,32;399;0,868;0,96;2;036.E10;ja;2025-05-09;[object Object];Idrift;;;Suldalsvassdraget;;166;nei;;3;NVE - område: 3;
1544;Brandåa;Kraftverk;K;SVORKA ENERGI AS;919763159;Trøndelag;50;Rindal;61;2009;2009;4,05;12,303;370;1,3;0,865;3;112.D4A0;ja;2009-12-11;[object Object];Idrift;;;Surna;20;457;nei;;8;NVE - område: 8;
37;Braskereidfoss;Kraftverk;K;HAFSLUND KRAFT AS;976894677;Innlandet;34;Våler (Innlandet);19;1978;1978;35,95;129,4724;9,5;450;0,022;1;002.H12;ja;1978-12-12;[object Object],[object Object];Idrift;;;Glommavassdraget;40;004;nei;;1;NVE - område: 1;
38;Bratsberg;Kraftverk;K;STATKRAFT ENERGI AS;987059729;Trøndelag;50;Trondheim;01;1977;1977;124;537,043;145;105;0,328;3;123.A6;ja;1977-10-01;[object Object],[object Object],[object Object];Idrift;;;Nidelvvassdraget;06;499;nei;;9;NVE - område: 9;
2047;Brattabøelvi;Kraftverk;K;BRATTABØELVI KRAFT AS;921045417;Vestland;46;Ullensvang;18;2022;2022;4,4;9,106;245,1;2,1;0,582;5;047.2C4;ja;2022-07-25;[object Object];Idrift;;;Jondalselvi;06;208;nei;;6;NVE - område: 6;
1687;Bratthus;Kraftverk;K;BRATTHUS KRAFTVERK AS;996777502;Vestland;46;Bjørnafjorden;24;2012;2012;0,68;1,417;189,6;0,41;0,461;2;053.D3;ja;2012-05-07;[object Object];Idrift;;;Sævareidvassdraget;;242;nei;;5;NVE - område: 5;
39;Brattingfoss;Pumpekraftverk;PK;NTE ENERGI AS;988340715;Trøndelag;50;Steinkjer;06;1955;1955;10,7;32,241;118,3;12;0,248;3;129.B0;ja;1955-12-05;[object Object],[object Object];Idrift;;;Follavassdraget;02;522;nei;;9;NVE - område: 9;
40;Brattset;Kraftverk;K;KRAFTVERKENE I ORKLA DA;947576283;Trøndelag;50;Rennebu;22;1982;1982;80;352,693;268,9;36,02;0,616;3;121.C6A0;ja;1982-10-10;[object Object],[object Object],[object Object];Idrift;;;Orkla;11;493;nei;;8;NVE - område: 8;
869;Brattvåg;Kraftverk;K;BRATTVÅG KRAFTVERK AS;925539317;Møre og Romsdal;15;Haram;80;1912;1912;0,81;1,943;;;;3;102.12Z;ja;1912-01-01;;Idrift;;;Brattvågelva;;999;nei;;8;NVE - område: 8;
1232;Breiava;Kraftverk;K;LYSE KRAFT DA;925749419;Rogaland;11;Hjelmeland;33;2006;2006;14,8;54,548;60;27;0,142;2;033.D2;ja;2006-08-28;[object Object],[object Object],[object Object];Idrift;;;Årdalselva;41;153;nei;;4;NVE - område: 4;
1882;Breidalselva;Kraftverk;K;LANGEDALSELVA KRAFT AS;919559330;Vestland;46;Gloppen;50;2016;2016;0,9;5,385;350,2;0,3;0,833;3;087.1AZ;ja;2016-10-31;[object Object];Idrift;;;Traudalselva;;368;nei;;13;NVE - område: 13;
2024;Breilobekken;Kraftverk;K;SIRDAL KRAFT AS;920828108;Agder;42;Sirdal;28;2021;2021;1,77;4,42;233,4;0,88;0,559;2;026.F212;ja;2021-06-03;[object Object],[object Object];Idrift;;;Sira;;132;nei;;4;NVE - område: 4;
534;Breiskallen;Kraftverk;K;VOKKS KRAFT AS;976550013;Innlandet;34;Gjøvik;07;1988;1988;1;5,069;29;4,21;0,065;1;002.DCB0;ja;1988-01-01;[object Object];Idrift;;;Glommavassdraget;75;005;nei;;1;NVE - område: 1;
41;Breive;Pumpe;P;OTRA KRAFT DA;955007514;Agder;42;Bykle;22;1981;1981;-20;-76,428;0;19,97;-0,277;2;021.JA0;ja;1981-01-01;[object Object],[object Object];Idrift;;;Otra;43;115;nei;;3;NVE - område: 3;
1099;Breivikbotn;Kraftverk;K;HAMMERFEST ENERGI AS;986950281;Finnmark;56;Hasvik;16;1950;1950;0,635;3,993;69,9;1,4;0,126;4;216.5A;ja;1950-01-01;[object Object];Idrift;;;Eggevatnvassdraget;;860;nei;;12;NVE - område: 12;
1981;Breivikelva;Kraftverk;K;SKS PRODUKSJON AS;915637353;Nordland;18;Beiarn;39;2021;2021;8,59;27,355;305,5;4,25;0,561;4;161.32Z;ja;2021-06-30;[object Object];Idrift;;;Breivikelva;01;683;nei;;10;NVE - område: 10;
2095;Breivikelva;Kraftverk;K;BREIVIKELVA KRAFT AS;925575062;Nordland;18;Gildeskål;38;2024;2024;3,5;10;232,8;1,85;0,526;4;161.22;ja;2024-05-07;[object Object];Idrift;;;KYSTFELT;;999;nei;;10;NVE - område: 10;
1328;Breivold;Kraftverk;K;BREIVOLD ENERGI AS;981412001;Trøndelag;50;Åfjord;58;2001;2001;1;4,668;102;1,1;0,253;3;135.3C0;ja;2001-01-01;[object Object];Idrift;;;Arnvikelva;02;549;nei;;9;NVE - område: 9;
42;Brekke;Kraftverk;K;SMÅKRAFT AS;984616155;Østfold;31;Rakkestad;20;1987;1987;1,5;2,402;15;9,92;0,041;1;002.A7;ja;1987-01-01;[object Object];Idrift;;;Glommavassdraget;06;004;nei;;1;NVE - område: 1;
43;Brekke;Kraftverk;K;ØSTFOLD ENERGI AS;879904412;Østfold;31;Halden;01;1924;1924;8;31,371;26,6;37,04;0,059;1;001.B3;ja;1924-10-01;;Idrift;;;Haldenvassdraget;11;003;nei;;1;NVE - område: 1;
1141;Brekkebekken;Kraftverk;K;ERLEND SAMSLÅTT;969790521;Agder;42;Sirdal;28;2004;2004;0,472;1,227;;;;2;026.DAB;ja;2004-09-09;[object Object];Idrift;;;Sira;;132;nei;;4;NVE - område: 4;
44;Brekkefoss;Kraftverk;K;HAFSLUND KRAFT AS;976894677;Buskerud;33;Hemsedal;26;1957;1957;1,6;8,665;38;4,48;0,098;5;012.CDBA1;ja;1957-07-24;[object Object];Idrift;;;Drammensvassdraget;68;043;nei;;2;NVE - område: 2;
1247;Brekkefossen;Kraftverk;K;HOPE ENERGI AS;985564655;Vestland;46;Gloppen;50;2005;2005;3,9;18,47;68;7;0,163;3;086.8A;ja;2005-05-23;[object Object];Idrift;;;Hopselva;01;366;nei;;13;NVE - område: 13;
1892;Brekkefossen;Kraftverk;K;BREKKEFOSSEN KRAFTVERK AS;992484918;Vestland;46;Fjaler;46;2018;2018;3,8;9,629;86;5;0,211;3;082.5D;ja;2018-01-24;[object Object],[object Object];Idrift;;;Storelva;03;335;nei;;13;NVE - område: 13;
819;Brekkestøl;Kraftverk;K;BREKKESTØL KRAFTVERK AS;880556142;Rogaland;11;Gjesdal;22;2000;2000;1,44;8,731;309;0,586;0,706;2;030.2Z;ja;2000-01-01;[object Object],[object Object];Idrift;;;Dirdalsåna;04;148;nei;;4;NVE - område: 4;
1117;Breksillan;Kraftverk;K;;;Trøndelag;50;Namsos;07;1997;1997;0,033;0,181;;;;3;140.61;ja;1997-01-01;[object Object];Idrift;;;KYSTFELT;;999;nei;;9;NVE - område: 9;
1323;Briksdal;Kraftverk;K;BRIKSDAL MINIKRAFT AS;888796002;Vestland;46;Stryn;51;2007;2007;0,56;2,468;65,7;1,06;0,147;3;088.1C;ja;2007-05-24;[object Object],[object Object];Idrift;;;Oldenvassdraget;;999;nei;;13;NVE - område: 13;
45;Brokke;Kraftverk;K;OTRA KRAFT DA;955007514;Agder;42;Valle;21;1964;1964;330;1600,745;300;136;0,674;2;021.F20;ja;1964-08-15;[object Object],[object Object],[object Object],[object Object];Idrift;;;Otra;31;115;nei;;4;NVE - område: 4;
1079;Brudalsbekken;Kraftverk;K;;;Trøndelag;50;Indre Fosen;54;1998;1998;0,022;0,02;;;;3;132.A2;ja;1998-01-01;[object Object];Idrift;;;Skaudalsvassdraget;;999;nei;;9;NVE - område: 9;
1760;Bruelva;Kraftverk;K;TUSSA ENERGI AS;876795442;Møre og Romsdal;15;Vanylven;11;2014;2014;1;2,453;237,75;0,5;0,556;3;093.3A50;ja;2014-10-01;[object Object];Idrift;;;NORDDALSELVA;03;386;nei;;13;NVE - område: 13;
1142;Brufjell;Kraftverk;K;BRUFJELL ENERGI OG EIENDOM AS;989511890;Agder;42;Iveland;18;2004;2004;0,075;0,106;;;;2;020.BAC;ja;2004-01-01;[object Object];Idrift;;;Tovdalsvassdraget;;111;nei;;4;NVE - område: 4;
46;Brufoss;Kraftverk;K;VOKKS KRAFT AS;976550013;Innlandet;34;Gjøvik;07;1982;1982;2,2;7,832;32,5;8,48;0,071;1;002.DCA0;ja;1982-01-01;[object Object];Idrift;;;Glommavassdraget;73;005;nei;;1;NVE - område: 1;
47;Brulandsfoss;Kraftverk;K;EVINY FORNYBAR AS;876944642;Vestland;46;Sunnfjord;47;1934;1934;12,5;59,308;20,39;78;0,046;3;084.B;ja;1934-07-01;[object Object],[object Object],[object Object];Idrift;;;Jølstra;01;346;nei;;13;NVE - område: 13;
1576;Brunstad;Kraftverk;K;BRUNSTAD KRAFT AS;992545526;Møre og Romsdal;15;Sykkylven;28;2010;2010;3,96;13,019;225,1;2,12;0,519;3;097.7CAC;ja;2010-04-28;[object Object],[object Object];Idrift;;;Velledalselva;01;405;nei;;8;NVE - område: 8;
1449;Bruvollelva;Kraftverk;K;SMÅKRAFT AS;984616155;Trøndelag;50;Snåase %u2013 Snåsa;41;2010;2010;3,8;7,705;109,4;3,85;0,274;3;128.D2Z;ja;2010-05-27;[object Object];Idrift;;;Snåsavassdraget;13;517;nei;;9;NVE - område: 9;
48;Brødbølfoss;Kraftverk;K;HAFSLUND KRAFT AS;976894677;Innlandet;34;Kongsvinger;01;1920;1976;2,4;12,365;40;8,02;0,082;1;313.A1D1;ja;1976-05-03;[object Object],[object Object],[object Object],[object Object],[object Object];Idrift;;;Byälven-mangenvassdraget;01;985;nei;;1;NVE - område: 1;
1906;Bråberg;Kraftverk;K;BRÅBERG KRAFT AS;998784840;Vestland;46;Ullensvang;18;2018;2018;1,95;6,682;153;1,58;0,343;5;048.2A0;ja;2018-04-18;[object Object];Idrift;;;Bleielvi;;999;nei;;6;NVE - område: 6;
535;Buavatn;Pumpe;P;NTE ENERGI AS;988340715;Trøndelag;50;Steinkjer;06;1988;1988;-6;-5,671;0;9,01;-0,185;3;130.2A;ja;1988-07-03;[object Object];Idrift;;;Moldelva;02;524;nei;;9;NVE - område: 9;
1147;Budalselva;Kraftverk;K;MK KRAFT AS;833584812;Vestland;46;Modalen;29;2005;2005;0,3;1,084;;;;5;064.A2Z;ja;2005-05-10;[object Object];Idrift;;;Steinslandsvassdraget;;258;nei;;6;NVE - område: 6;
1590;Budalselva;Kraftverk;K;BUDALSELVA KRAFT AS;994507095;Vestland;46;Kinn;02;2010;2010;0,54;3,634;107;0,537;0,279;3;085.4Z;ja;2010-11-08;[object Object];Idrift;;;Solheimsvassdraget;;345;nei;;13;NVE - område: 13;
49;Buer;Kraftverk;K;SMÅKRAFT AS;984616155;Østfold;31;Rakkestad;20;1985;1985;1,5;2,731;16;10,1;0,043;1;002.AA0;ja;1985-01-01;[object Object];Idrift;;;Glommavassdraget;08;004;nei;;1;NVE - område: 1;
1946;Bukkskinn;Kraftverk;K;;;Troms;55;Senja;30;2009;2009;0,01;0,061;;;;4;193.62;ja;2009-01-01;[object Object];Idrift;;;KYSTFELT;;999;nei;;11;NVE - område: 11;
1364;Bulko;Kraftverk;K;BULKO KRAFT AS;990576289;Vestland;46;Voss;21;2008;2008;2,35;6,941;131;2,14;0,306;5;052.1C;ja;2008-04-21;[object Object];Idrift;;;Granvinvassdraget;01;228;nei;;6;NVE - område: 6;
1415;Buru;Kraftverk;K;;;Trøndelag;50;Midtre Gauldal;27;2008;2008;0,015;0,018;;;;3;122.BB10;ja;2008-01-01;[object Object];Idrift;;;Gaula;;497;nei;;8;NVE - område: 8;
1234;Buset;Kraftverk;K;BUSET KRAFT AS;932559595;Møre og Romsdal;15;Ørsta;20;2002;2002;1,2;5,286;183;0,78;0,427;3;095.3BA;ja;2002-12-05;[object Object];Idrift;;;Storelva;;999;nei;;8;NVE - område: 8;
934;Buset mikrokraftverk;Kraftverk;K;BUSET KRAFT AS;932559595;Møre og Romsdal;15;Ørsta;20;2000;2000;0,018;0,003;;;;3;095.3BB;ja;2000-01-01;[object Object];Idrift;;;Storelva;;644;nei;;8;NVE - område: 8;
2107;Buvasselva;Kraftverk;K;DRANGEDAL KRAFT AS;924862696;Telemark ;40;Drangedal;16;2023;2023;0,73;3,6;86;1;0,203;2;017.FAB4;ja;2023-11-01;[object Object];Idrift;;;Kragerøvassdraget;;096;nei;;3;NVE - område: 3;
1294;Byaelva;Kraftverk;K;BYAKRAFT AS;984361521;Trøndelag;50;Levanger;37;2006;2006;0,088;0,213;28;0,62;0,039;3;126.3A;ja;2006-01-01;[object Object];Idrift;;;elv fra Byavatnet;;999;nei;;9;NVE - område: 9;
746;Byafossen;Kraftverk;K;NTE ENERGI AS;988340715;Trøndelag;50;Steinkjer;06;1957;2018;6;30,06;8;75;0,022;3;128.B1;ja;2018-02-21;[object Object];Idrift;;;Snåsavassdraget;01;517;nei;;9;NVE - område: 9;
1058;Byrkjedal;Kraftverk;K;BYRKJEDAL KRAFTVERK AS;979733321;Rogaland;11;Gjesdal;22;1999;1999;0,63;2,303;;;;2;030.2AZ;ja;1999-01-01;[object Object];Idrift;;;Dirdalsåna;;148;nei;;4;NVE - område: 4;
1354;Byrkjelo;Kraftverk;K;SMÅKRAFT USPP 1 AS;928613313;Vestland;46;Gloppen;50;2007;2007;13,27;48,391;137;12,06;0,306;3;087.CZ;ja;2007-08-25;[object Object];Idrift;;;Breimsvassdraget;07;369;nei;;13;NVE - område: 13;
1806;Byro;Kraftverk;K;SMÅKRAFT AS;984616155;Vestland;46;Ullensvang;18;2016;2016;3,2;4,616;487,91;0,76;1,17;5;048.310;ja;2016-09-16;[object Object];Idrift;;;KYSTFELT;;999;nei;;6;NVE - område: 6;
50;Byrte;Kraftverk;K;STATKRAFT ENERGI AS;987059729;Telemark ;40;Tokke;34;1969;1969;20;121,475;285;8,01;0,694;2;016.BE2B;ja;1969-09-09;[object Object];Idrift;;;Skiensvassdraget;96;078;nei;;3;NVE - område: 3;
912;Bæverfjord Gård Kraftverk;Kraftverk;K;;;Møre og Romsdal;15;Surnadal;66;1971;1971;0,0176;0,07;;;;3;112.31;ja;1971-01-01;;Idrift;;;KYSTFELT;;999;nei;;8;NVE - område: 8;
1674;Bøaåni;Pumpe;P;HAFSLUND KRAFT AS;976894677;Innlandet;34;Vang;54;1973;1973;-1,178;-0,389;;2,2;;1;012.Q3A;ja;1973-01-01;[object Object];Idrift;;;Drammensvassdraget;47;043;nei;;1;NVE - område: 1;
1227;Bøen I;Kraftverk;K;BØEN KRAFT AS;988376582;Rogaland;11;Hjelmeland;33;2006;2006;1,8;4,559;91;2,35;0,213;2;033.2Z;ja;2006-04-06;[object Object];Idrift;;;Mælåna;01;160;nei;;4;NVE - område: 4;
1879;Bøen II;Kraftverk;K;BØEN KRAFT AS;988376582;Rogaland;11;Hjelmeland;33;2016;2016;2,99;10,529;263;1,355;0,613;2;033.2Z;ja;2016-05-09;[object Object];Idrift;;;Mælåna;02;160;nei;;4;NVE - område: 4;
51;Bøhnsdalen;Kraftverk;K;GLOMMA KRAFTPRODUKSJON AS;987287608;Akershus;32;Eidsvoll;40;1986;1986;3;13,518;18,2;22,52;0,037;1;002.DAA4;ja;1986-05-22;[object Object],[object Object];Idrift;;;Glommavassdraget;79;005;nei;;1;NVE - område: 1;
2160;Bøla;Kraftverk;K;BØLAKRAFT AS;922290415;Trøndelag;50;Steinkjer;06;2025;2025;3,2;8,8;118,2;3,2;0,278;3;128.C1A;ja;2025-02-26;[object Object],[object Object];Idrift;;;Snåsavassdraget;;517;nei;;9;NVE - område: 9;
866;Børter 1;Kraftverk;K;BØRTER E VERK AS;831755032;Akershus;32;Enebakk;20;1914;1914;0,45;2,043;;;;1;002.C4B;ja;1914-01-01;;Idrift;;;Glommavassdraget;;004;nei;;1;NVE - område: 1;
867;Børter 2;Kraftverk;K;BØRTER E VERK AS;831755032;Akershus;32;Enebakk;20;1922;1922;0,25;1,021;;;;1;002.C4B;ja;1922-01-01;;Idrift;;;Glommavassdraget;;004;nei;;1;NVE - område: 1;
52;Børtveit;Kraftverk;K;SUNNHORDLAND KRAFTLAG AS;916435711;Vestland;46;Stord;14;1921;1993;2,4;9,786;356,39;0,8;0,833;2;044.2Z;ja;1993-01-01;;Idrift;;;Børtveitelva;01;201;nei;;5;NVE - område: 5;
53;Bøylefoss;Kraftverk;K;ARENDALS FOSSEKOMPANI ASA;910261525;Agder;42;Froland;14;1913;1913;65;420,76;62;124;0,146;2;019.B7;ja;1913-07-01;[object Object];Idrift;;;Arendalsvassdraget;04;105;nei;;4;NVE - område: 4;
54;Båtsvatn;Kraftverk;K;STATKRAFT ENERGI AS;987059729;Nordland;18;Narvik;06;1977;1977;30;141,165;204,8;17,01;0,49;4;173.C3;ja;1977-03-03;[object Object],[object Object];Idrift;;;Skjomavassdraget;02;738;nei;;11;NVE - område: 11;
1206;Cabardasjohka;Kraftverk;K;YMBER PRODUKSJON AS;913680294;Finnmark;56;Kautokeino;12;1953;2003;0,7;3,138;5,5;14;;4;212.GA4;ja;2003-10-22;[object Object];Idrift;;;Altavassdraget;;853;nei;;12;NVE - område: 12;
1149;Cermaq Norway AS avd, Dyping;Kraftverk;K;CERMAQ NORWAY AS;961922976;Nordland;18;Steigen;48;2002;2002;0,15;0,935;;;;4;169.52;ja;2002-01-01;[object Object];Idrift;;;KYSTFELT;;999;nei;;10;NVE - område: 10;
615;Corrojavrrit;Kraftverk;K;YMBER PRODUKSJON AS;913680294;Troms;55;Kvænangen;46;1990;1990;1,7;6,003;42;4,71;0,1;4;209.4AB;ja;1990-11-04;[object Object],[object Object];Idrift;;;Abojohka;04;834;nei;;12;NVE - område: 12;
2131;Dagsvikelva;Kraftverk;K;DAGSVIKELVA KRAFT AS;911605430;Nordland;18;Leirfjord;22;2025;2025;2,2;7,4;134;1,97;0,31;4;153.11Z;ja;2025-02-27;[object Object];Idrift;;;Dagsvikelva;;999;nei;;10;NVE - område: 10;
1428;Dahlefoss;Kraftverk;K;SMÅKRAFT AS;984616155;Trøndelag;50;Flatanger;49;2009;2009;0,98;2,048;16,7;7,5;0,036;3;137.7Z;ja;2009-08-01;[object Object];Idrift;;;Lauvsnesvassdraget;03;566;nei;;9;NVE - område: 9;
55;Daja;Kraftverk;K;SKS PRODUKSJON AS;915637353;Nordland;18;Fauske %u2013 Fuossko;41;1958;1958;30;178,663;155;24;0,347;4;164.E3;ja;1958-01-01;[object Object],[object Object];Idrift;;;Sulitjelmavassdraget;12;698;nei;;10;NVE - område: 10;
1735;Dalabekken;Kraftverk;K;OLE PETTER ESTENSTAD;992199016;Trøndelag;50;Melhus;28;2009;2009;0,022;0,06;50;0,074;0,083;3;122.2D;ja;2009-11-19;[object Object];Idrift;;;Vigda;;497;nei;;8;NVE - område: 8;
